county_fips,County,population,num_uninsured,num_insured,pct_uninsured,pct_uninsured_moe,year
00019,Fresno,136763,60284,76480,44.1,2.9,2008
00019,Fresno,73689,34694,38995,47.1,3.7,2008
00019,Fresno,803343,166354,636989,20.7,1.0,2008
00019,Fresno,390205,106800,283405,27.4,1.5,2008
00019,Fresno,461215,123631,337584,26.8,1.4,2008
00019,Fresno,275397,74371,201027,27.0,1.8,2008
00019,Fresno,603885,149217,454668,24.7,1.2,2008
00019,Fresno,193906,59828,134078,30.9,2.2,2008
00019,Fresno,230962,69853,161109,30.2,2.0,2008
00019,Fresno,134620,40824,93796,30.3,2.5,2008
00019,Fresno,305020,85483,219536,28.0,1.7,2008
00019,Fresno,395736,70154,325582,17.7,1.3,2008
00019,Fresno,407607,96199,311408,23.6,1.4,2008
00019,Fresno,230253,53778,176475,23.4,1.9,2008
00019,Fresno,196299,46972,149327,23.9,2.1,2008
00019,Fresno,272278,84734,187543,31.1,1.8,2008
00019,Fresno,380600,127368,253232,33.5,1.6,2008
00019,Fresno,156690,62248,94442,39.7,2.5,2008
